GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Waarp Vitam Module,org.waarp.vitam.dip,DipRequest.DIPStep,2,149,2,9,1,30,2,13,0,7
Waarp Vitam Module,org.waarp.vitam.dip,DipManager,120,440,14,30,40,125,11,27,0,13
Waarp Vitam Module,org.waarp.vitam.dip,DipMonitor,51,128,2,8,17,43,1,11,0,7
Waarp Vitam Module,org.waarp.vitam.dip,DipRequestFactory,45,289,6,16,16,73,9,22,3,17
Waarp Vitam Module,org.waarp.vitam.dip,DipRequest.DIPStep.IngestTransition,0,100,0,0,0,9,0,2,0,2
Waarp Vitam Module,org.waarp.vitam.dip,DipRequest,41,159,8,12,13,45,7,15,0,12
Waarp Vitam Module,org.waarp.vitam.dip,DipTask.JavaTask,25,19,3,1,5,6,2,2,0,2
Waarp Vitam Module,org.waarp.vitam.dip,DipTask,46,100,2,4,16,31,1,9,0,7
Waarp Vitam Module,org.waarp.vitam.common,OperationCheck,34,98,3,3,15,36,3,8,0,8
Waarp Vitam Module,org.waarp.vitam.common,WaarpCommon,6,69,0,0,3,17,0,2,0,2
Waarp Vitam Module,org.waarp.vitam.common,WaarpVitamShutdownHook.WaarpVitamShutdownConfiguration,0,6,0,0,0,3,0,1,0,1
Waarp Vitam Module,org.waarp.vitam.common,WaarpCommon.TaskOption,47,485,7,11,16,121,6,16,0,13
Waarp Vitam Module,org.waarp.vitam.common,WaarpCommon.MonitorOption,62,150,9,5,19,42,7,7,0,7
Waarp Vitam Module,org.waarp.vitam.common,WaarpVitamShutdownHook,16,8,0,0,7,4,1,2,1,2
Waarp Vitam Module,org.waarp.vitam.common,AbstractVitamRequest,159,338,4,2,47,103,4,35,1,35
Waarp Vitam Module,org.waarp.vitam.common,WaarpMonitor,3,42,1,3,1,11,2,6,1,5
Waarp Vitam Module,org.waarp.vitam.ingest,IngestRequest,72,256,6,10,22,66,5,20,0,17
Waarp Vitam Module,org.waarp.vitam.ingest,IngestRequestFactory,45,286,7,17,16,74,10,21,3,16
Waarp Vitam Module,org.waarp.vitam.ingest,IngestRequest.IngestStep.IngestTransition,0,114,0,0,0,10,0,2,0,2
Waarp Vitam Module,org.waarp.vitam.ingest,IngestTask,56,145,3,5,18,41,2,9,0,7
Waarp Vitam Module,org.waarp.vitam.ingest,IngestManager,119,627,13,44,45,179,12,36,0,16
Waarp Vitam Module,org.waarp.vitam.ingest,IngestTask.JavaTask,18,26,2,2,3,8,2,2,0,2
Waarp Vitam Module,org.waarp.vitam.ingest,IngestRequest.CONTEXT,3,39,0,0,2,6,0,2,0,2
Waarp Vitam Module,org.waarp.vitam.ingest,IngestRequest.IngestStep,0,151,1,10,0,30,1,14,0,7
Waarp Vitam Module,org.waarp.vitam.ingest,IngestMonitor,51,128,2,8,17,42,1,11,0,7
Waarp Vitam Module,org.waarp.vitam.common.waarp,ManagerToWaarpFactory.WaarpModel,24,0,0,0,3,0,1,0,1,0
Waarp Vitam Module,org.waarp.vitam.common.waarp,ManagerToWaarpFactory,14,0,2,0,4,0,3,0,2,0
Waarp Vitam Module,org.waarp.vitam.common.waarp,ManagerToWaarpR66,176,0,8,0,57,0,9,0,5,0
Waarp Vitam Module,org.waarp.vitam.common.waarp,ManagerToWaarpScript,194,0,12,0,47,0,10,0,4,0
Waarp Vitam Module,org.waarp.vitam.common.waarp,ManagerToWaarpScript.StatusIdResult,178,0,2,0,69,0,6,0,5,0
